age,gender,city,relationship_status,sleep_hours,exercise_frequency,screen_time_hours,diet_quality,stress_level,anxiety_level,mood,motivation_level,concentration_level,social_support,social_interaction_frequency,work_stress,is_student,is_employed,household_responsibility,open_to_therapy,aware_of_mental_health,mental_health_risk
32,male,Kolkata,single,7.1,7,1.5,3,3,3,10,9,8,3,6,0,0,1,3,1,1,0
26,female,Delhi,single,7.9,2,0.4,3,6,3,6,5,8,3,8,1,1,0,5,1,0,0
34,male,Pune,in_relationship,7.3,2,2.3,3,7,4,8,7,8,4,6,3,0,1,4,1,1,0
32,female,Surat,single,9.4,3,1.4,2,1,2,10,8,7,3,0,0,0,1,3,1,1,0
27,male,Mumbai,married,6,2,5.2,3,6,7,5,5,5,4,5,1,0,0,4,1,1,0
21,male,Bengaluru,in_relationship,7.5,2,4.8,2,7,9,6,5,4,5,6,4,1,0,1,1,0,1
18,male,Surat,in_relationship,6.4,0,3.4,5,10,7,3,3,3,2,9,4,0,0,2,1,1,1
24,male,Bengaluru,single,5.3,3,2.9,3,9,8,3,7,4,4,7,6,1,0,3,1,0,1
35,female,Pune,single,6.5,4,0,3,7,3,8,5,10,4,2,5,1,0,2,1,1,0
30,male,Hyderabad,single,7.2,3,7.5,2,9,7,4,7,3,4,7,4,0,0,2,1,1,1
18,male,Bengaluru,single,10,1,2.5,2,7,5,8,7,8,4,3,4,0,0,3,1,1,0
29,male,Delhi,single,6.4,3,3.7,5,8,7,5,7,6,3,3,3,1,0,3,1,1,1
31,male,Delhi,in_relationship,5.6,0,1.6,4,5,7,4,10,8,2,3,0,0,0,1,1,1,0
21,male,Kolkata,married,7.1,2,6.4,1,9,8,5,7,4,4,7,3,0,1,2,1,1,1
29,male,Bengaluru,married,4.3,4,4.8,5,10,10,5,6,2,3,9,5,0,1,4,1,1,1
28,female,Hyderabad,in_relationship,6.6,4,2.8,4,10,8,1,2,3,3,6,7,0,1,2,0,0,1
19,female,Hyderabad,single,7.1,2,3.7,3,9,8,5,3,7,2,7,7,0,1,1,1,1,1
31,female,Hyderabad,married,7.9,1,7.9,3,7,5,5,6,5,3,6,2,0,1,5,1,1,0
32,male,Pune,married,8,7,5.5,3,5,6,9,6,6,3,7,5,1,0,3,1,1,0
37,male,Surat,single,5.7,5,5.2,5,10,9,3,5,1,1,9,5,1,0,3,1,1,1
36,female,Bengaluru,in_relationship,6.5,4,1.6,3,8,9,5,3,6,4,0,6,1,0,3,1,1,1
18,female,Pune,single,5.7,1,0.7,3,9,8,4,6,6,5,5,7,0,1,2,0,0,1
20,male,Kolkata,married,5.4,2,4.2,3,9,8,2,3,5,4,2,4,0,1,5,1,0,1
32,male,Hyderabad,complicated,7.2,2,6.3,2,9,9,2,4,2,3,10,5,1,0,3,1,1,1
32,male,Surat,single,5,5,8.4,5,10,8,2,3,5,3,6,3,1,0,2,1,0,1
32,male,Delhi,married,6.3,5,0,2,6,7,8,5,3,3,5,6,0,1,4,1,1,0
59,male,Mumbai,in_relationship,5.8,1,2.9,3,10,10,3,5,4,3,2,3,1,0,1,1,1,1
33,female,Pune,married,7.2,2,3.3,1,9,10,5,7,5,4,8,6,0,1,4,1,1,1
37,female,Bengaluru,single,8.8,4,6,3,7,6,7,6,7,2,8,2,1,0,3,1,1,0
36,female,Pune,married,5,5,4.2,4,10,9,4,6,4,5,7,6,0,1,4,1,1,1
33,female,Jaipur,single,4.8,5,4.3,3,10,10,4,4,3,2,3,8,0,1,3,1,1,1
25,female,Mumbai,single,6,4,6.4,4,8,7,4,6,2,4,4,3,1,0,3,1,1,1
34,female,Jaipur,single,7,2,2.7,3,9,8,5,6,6,3,6,5,0,0,3,1,0,1
22,female,Bengaluru,married,6.6,0,7.2,4,10,8,2,4,5,5,4,5,1,0,5,1,1,1
26,male,Hyderabad,married,6.5,2,5.4,4,6,7,6,8,4,4,7,3,0,0,4,1,0,0
24,male,Ahmedabad,married,6.4,4,3.9,3,10,10,4,5,2,3,0,8,0,1,5,1,1,1
29,male,Jaipur,married,6.5,2,8.6,3,9,7,4,5,7,3,5,1,1,0,3,1,1,1
47,female,Mumbai,single,8.2,3,7.6,3,8,9,6,5,7,3,11,7,0,0,2,0,0,1
18,female,Bengaluru,single,4.7,0,6.4,3,10,8,1,2,5,2,7,4,0,0,4,1,1,1
33,male,Chennai,single,6,4,0,3,3,8,10,10,4,2,7,2,1,0,4,1,1,0
18,female,Chennai,single,6.5,3,7.8,3,9,9,1,2,1,1,12,1,1,0,2,1,1,1
24,male,Chennai,single,5.9,4,6.1,3,8,8,3,6,5,2,0,3,0,0,3,1,1,1
37,female,Mumbai,single,9.3,6,8.5,3,7,8,7,6,6,3,3,6,0,1,2,1,1,1
29,male,Delhi,single,6.2,3,7,4,8,8,3,4,4,3,4,1,0,0,3,1,1,1
19,male,Bengaluru,single,6.7,2,7.7,3,9,10,1,2,5,1,8,3,0,1,3,0,0,1
22,female,Pune,single,7.5,2,6.3,4,8,6,6,6,7,3,8,2,0,1,2,1,1,1
33,male,Delhi,single,5.6,2,8.3,3,10,10,2,4,3,4,4,4,1,0,2,1,1,1
22,male,Delhi,married,4.8,5,8.5,3,10,10,2,6,3,3,8,6,0,0,5,1,1,1
30,male,Surat,in_relationship,6.2,4,4.9,3,6,9,4,4,4,3,4,3,0,1,4,1,1,1
28,female,Mumbai,married,7.9,4,1.4,2,8,5,6,5,8,3,9,9,0,1,5,1,1,1
23,female,Surat,single,6.3,6,4.6,5,8,6,6,6,4,2,3,3,1,0,1,1,1,0
45,male,Chennai,single,5.7,6,5.9,1,6,5,6,6,6,2,6,1,1,0,4,1,1,0
33,female,Pune,in_relationship,7.8,3,4.9,3,9,7,4,5,4,4,5,4,1,0,1,1,0,1
18,female,Delhi,single,6.4,0,2.8,4,10,4,3,4,8,5,10,2,1,0,3,1,1,1
29,male,Mumbai,single,6.3,7,1.7,2,7,3,8,8,8,2,5,3,1,0,3,0,0,0
23,male,Kolkata,single,6.8,2,3,3,10,10,3,6,3,3,5,6,0,1,4,1,1,1
35,male,Pune,single,7.9,1,6.1,2,9,9,1,2,5,3,7,4,0,1,3,1,1,1
22,male,Kolkata,single,9.8,2,7.8,2,7,7,7,6,5,2,8,4,1,0,4,1,1,1
27,female,Mumbai,single,8,2,6.3,4,7,7,7,5,8,4,8,3,0,0,2,1,0,0
32,male,Kolkata,in_relationship,8.1,4,7,3,8,6,6,6,9,1,7,0,1,0,3,1,1,0
35,female,Kolkata,single,6,0,5.8,1,10,10,1,4,5,2,5,4,1,0,2,1,0,1
18,female,Chennai,single,5.4,0,2.8,2,7,6,5,4,8,4,5,1,1,0,2,1,0,1
25,male,Kolkata,married,7.1,2,3.6,4,5,6,6,5,6,3,6,1,0,0,5,1,0,0
24,female,Pune,single,6.4,4,3.9,4,9,8,4,6,6,2,7,5,1,0,3,1,1,1
23,male,Ahmedabad,single,5.3,6,5.2,5,5,4,7,7,8,3,6,0,1,0,4,1,0,0
42,female,Mumbai,married,6.5,3,6.4,4,8,7,7,6,5,5,7,0,1,0,5,1,0,0
31,female,Bengaluru,single,7.4,1,5.4,3,10,10,3,5,4,3,0,9,0,1,2,1,1,1
18,female,Mumbai,single,7.3,2,7.8,5,9,9,4,6,6,2,9,1,1,0,4,0,0,1
35,female,Bengaluru,single,7.3,3,3.9,3,8,7,6,5,7,3,6,5,0,1,4,1,0,1
45,male,Bengaluru,single,7.3,5,0.7,3,4,7,9,7,5,3,8,3,0,1,2,1,1,0
36,female,Mumbai,in_relationship,5.9,0,3.5,2,8,7,2,2,2,4,5,5,0,1,4,1,1,1
18,female,Bengaluru,married,6.4,2,4.6,1,8,6,6,5,5,5,0,5,0,1,3,1,1,1
24,female,Mumbai,single,4.8,0,6.9,4,10,10,1,1,1,1,5,6,1,0,5,1,1,1
38,female,Pune,in_relationship,8.4,0,4.2,4,6,5,7,6,5,4,6,0,1,0,4,1,1,0
22,female,Surat,in_relationship,7,6,5.5,2,8,9,6,8,3,2,8,4,0,0,3,1,1,1
32,male,Mumbai,single,6.7,5,5.1,3,6,9,9,7,4,5,0,5,0,0,4,1,1,0
